Movie Name,Genre,Ratings,Voting Counts,Duration
Barroz,Thriller,3.5, 989,2h 35m
Phir Aayi Hasseen Dillruba,Thriller,5.8, 6.8K,2h 12m
Bone Lake,Thriller,6.9, 45,1h 34m
Eagle,Thriller,5.9, 4.9K,2h 39m
The Plot,Thriller,4.8, 375,1h 40m
From Embers,Thriller,4.8, 131,1h 39m
The Goat,Thriller,6.0, 97,1h 31m
The One That Got Away,Thriller,5.9, 10,56m
Final Heist,Thriller,4.4, 151,1h 23m
The Ritual,Thriller,3.8, 7,1h 40m
Remnant,Thriller,2.6, 317,1h 52m
Karma's a Bitch,Thriller,4.7, 33,1h 29m
Beacon,Thriller,5.7, 417,1h 36m
The Smile Man,Thriller,7.6, 1.5K,2h 2m
Three Kilometres to the End of the World,Thriller,7.0, 889,1h 45m
Sabari,Thriller,8.4, 5.4K,2h 9m
Black,Thriller,7.1, 2.7K,1h 55m
Spirit in the Blood,Thriller,4.7, 369,1h 38m
They Whisper,Thriller,5.1, 62,1h 30m
The Actor,Thriller,3.3, 726,2h 8m
Suckers,Thriller,3.3, 120,1h 7m
Hunting Matthew Nichols,Thriller,9.0, 44,1h 36m
Protocol-7,Thriller,5.0, 262,1h 38m
Rest in Peace,Thriller,5.8, 2.3K,1h 45m
Glitch,Thriller,3.3, 189,1h 47m
Gaami,Thriller,6.4, 2K,2h 27m
Dis-moi juste que tu m'aimes,Thriller,5.9, 104,1h 51m
The Paradise of Thorns,Thriller,7.7, 1.1K,2h 11m
I Heard You Buy Souls,Thriller,2.7, 42,1h 28m
She Wants My Baby,Thriller,5.4, 136,TV-14
Lethally Blonde,Thriller,4.2, 56,1h 31m
Kidnapping Inc.,Thriller,6.6, 233,1h 47m
Bad Fish,Thriller,3.4, 317,1h 24m
Seeds,Thriller,6.7, 58,1h 22m
Campton Manor,Thriller,3.4, 224,1h 23m
Altered Reality,Thriller,6.3, 65,1h 39m
Fresh,Thriller,7.9, 28,1h 38m
10 Days of a Curious Man,Thriller,5.7, 1.2K,1h 50m
Crakk - Jeethegaa Toh Jiyegaa!,Thriller,4.7, 6.5K,2h 34m
Wineville,Thriller,4.3, 221,1h 40m
Stranger Eyes,Thriller,6.4, 273,2h 5m
Chapel,Thriller,3.3, 174,1h 32m
Frankenstein: Legacy,Thriller,3.6, 199,1h 41m
Till Death Do Us Part,Thriller,6.3, 271,1h 48m
Shark Warning,Thriller,3.4, 264,1h 34m
Scorched Earth,Thriller,6.7, 530,1h 41m
The Muse,Thriller,3.6, 179,1h 24m
War Game,Thriller,5.5, 621,1h 34m
