Movie Name,Genre,Ratings,Voting Counts,Duration
Ruslaan,Action,3.3, 1.2K,2h
Dragon Ball Kai: Doragon Bôru Kai,Action,8.4, 68,1h 22m
Captain Avispa,Action,5.8, 173,1h 36m
Matka,Action,4.7, 583,2h 36m
Spider-Man: Final Swing,Action,8.4, 10,2h 33m
Appudo Ippudo Eppudo,Action,4.7, 230,2h
Bandaa Singh Chaudhary,Action,6.3, 5.2K,1h 53m
Rob N Roll,Action,6.1, 1.5K,1h 38m
Formed Police Unit,Action,4.6, 475,2h
Karma,Action,4.5, 17,1h 51m
Rendel: Cycle of Revenge,Action,3.6, 246,1h 39m
Soodhu Kavvum 2: Naatum Naatu Makkalum,Action,3.7, 200,2h 9m
The Desperate Chase,Action,5.5, 59,1h 50m
Kadakan,Action,4.0, 112,2h 8m
Transformers Prime: Galavatron's Revenge,Action,3.4, 8,1h 44m
Türkler Çildirmis Olmali 2: Mavi Vatan,Action,2.2, 156,1h 40m
Ame no naka no yokujô,Action,5.9, 70,2h 12m
Midas,Action,4.6, 339,1h 25m
The Last Chainsaw Massacre,Action,3.8, 40,1h 15m
Bull Shark 2,Action,3.0, 156,1h 15m
Saala,Action,5.9, 1.1K,2h 10m
Virunnu,Action,7.9, 875,2h 5m
Hell city,Action,9.1, 27,1h 30m
12 Gaun,Action,6.3, 883,2h 27m
Bohurupi,Action,8.3, 1.4K,2h 35m
Lisabi: The Uprising,Action,6.1, 124,1h 47m
Fûto Tantei: Kamen Rider Skull no Shôzô,Action,7.4, 39,1h 22m
Election,Action,5.9, 808,2h
Sumaho o otoshita dake na no ni: Saishusho Final Hacking Game,Action,7.6, 18,1h 56m
Dange,Action,5.3, 793,2h 34m
Bidurbhai,Action,9.2, 379,2h 28m
Harom Hara,Action,7.7, 3K,2h 34m
Reloaded 2,Action,7.8, 1.1K,45m
Sayen: The Huntress,Action,4.4, 253,1h 28m
Raju Gari Ammayi Naidu Gari Abbayi,Action,8.3, 3.1K,2h 38m
Neon Fear,Action,6.1, 457,40m
Go for Broke,Action,5.7, 271,1h 55m
Major Grom: The Game,Action,6.1, 1.8K,2h 48m
Losing Lerato 2,Action,9.1, 33,1h 36m
Komandir,Action,6.3, 518,2h 11m
Deadzone,Action,4.1, 35,1h 20m
Drive,Action,5.6, 322,1h 30m
Spirit Riser,Action,6.7, 33,1h 38m
Thug in a Suit,Action,6.0, 141,1h 40m
Malaikottai Vaaliban,Action,6.0, 4.1K,2h 36m
Megdan: Between Water and Fire,Action,5.4, 721,1h 46m
Oru Anveshanathinte Thudakkam,Action,7.1, 830,3h 1m
Bond: Kizuna,Action,6.2, 18,1h 32m
London Gangsters,Action,4.3, 11,1h 44m
The Evil Three,Action,6.8, 930,30m
The Alexandrian,Action,3.8, 252,1h 44m
Warning 2,Action,7.1, 883,2h 5m
Dark Fusion,Action,8.5, 235,1h 30m
Bheema,Action,5.8, 948,2h 28m
Gravediggers,Action,6.4, 29,1h 31m
Average Student Nani,Action,8.0, 2.2K,2h 18m
Surrender,Action,7.8, 15,2h 29m
Useful Idiots,Action,8.2, 18,1h 32m
Kamen Rider Gotchard: The Future Daybreak,Action,7.9, 70,1h 3m
Thundu,Action,5.0, 903,2h 5m
The Bottom Line,Action,6.5, 12,1h 47m
Black Storm,Action,6.6, 65,1h 37m
Sous écrous,Action,5.4, 35,1h 51m
Marni: The Story of Wewe Gombel,Action,5.9, 208,1h 59m
Akabane Honeko no Bodyguard,Action,5.9, 38,1h 57m
Naag Bhoomi,Action,5.7, 8,2h 10m
Zénithal,Action,5.4, 79,1h 20m
The Circuit 4: Faith Fighter,Action,4.4, 88,1h 30m
Gekijoban kimi to sekai ga owaru hi ni final,Action,6.4, 37,1h 55m
The Vampire and the Vigilante,Action,3.7, 49,1h 15m
Thankamani,Action,4.6, 229,2h 36m
Die Chaosschwestern und Pinguin Paul,Action,5.7, 66,1h 40m
Hit List,Action,5.5, 311,2h 5m
Kamen Rider 555 20th: Paradise Regained,Action,5.9, 141,1h 5m
Angel of the Warrior,Action,8.5, 134,1h 30m
"Bullets, Brothers and Blood",Action,7.8, 15,1h 25m
Por,Action,5.0, 609,2h 34m
